9606.ENSP00000005257	9606.ENSP00000261558	2
9606.ENSP00000215956	9606.ENSP00000217182	0
9606.ENSP00000234310	9606.ENSP00000012443	3
9606.ENSP00000229794	9606.ENSP00000229002	6
9606.ENSP00000162749	9606.ENSP00000259808	4
9606.ENSP00000240139	9606.ENSP00000216200	6
9606.ENSP00000226524	9606.ENSP00000216968	3
9606.ENSP00000220003	9606.ENSP00000221972	6
9606.ENSP00000199706	9606.ENSP00000245539	4
9606.ENSP00000175756	9606.ENSP00000251630	4
9606.ENSP00000075503	9606.ENSP00000246841	2
9606.ENSP00000216101	9606.ENSP00000219255	3
9606.ENSP00000053468	9606.ENSP00000216554	2
9606.ENSP00000199706	9606.ENSP00000259873	2
9606.ENSP00000239223	9606.ENSP00000261845	6
9606.ENSP00000220062	9606.ENSP00000254695	6
9606.ENSP00000222254	9606.ENSP00000220003	6
9606.ENSP00000216274	9606.ENSP00000222254	5
9606.ENSP00000220062	9606.ENSP00000219409	3
9606.ENSP00000196551	9606.ENSP00000053468	2
9606.ENSP00000019103	9606.ENSP00000229264	0
9606.ENSP00000256857	9606.ENSP00000227507	1
9606.ENSP00000078429	9606.ENSP00000255262	0
9606.ENSP00000071281	9606.ENSP00000262160	5
9606.ENSP00000012443	9606.ENSP00000220751	5
9606.ENSP00000216554	9606.ENSP00000196551	3
9606.ENSP00000211287	9606.ENSP00000217188	0
9606.ENSP00000199814	9606.ENSP00000254193	2
9606.ENSP00000014930	9606.ENSP00000240615	0
9606.ENSP00000207437	9606.ENSP00000009105	5
9606.ENSP00000215832	9606.ENSP00000180166	0
9606.ENSP00000172229	9606.ENSP00000219409	2
9606.ENSP00000201979	9606.ENSP00000232564	3
9606.ENSP00000252818	9606.ENSP00000250971	1
9606.ENSP00000262300	9606.ENSP00000262211	5
9606.ENSP00000257904	9606.ENSP00000250448	6
9606.ENSP00000216274	9606.ENSP00000238081	3
9606.ENSP00000054666	9606.ENSP00000261890	4
9606.ENSP00000215574	9606.ENSP00000257904	0
9606.ENSP00000013807	9606.ENSP00000251303	2
9606.ENSP00000215659	9606.ENSP00000251630	0
9606.ENSP00000012443	9606.ENSP00000207437	4
9606.ENSP00000164133	9606.ENSP00000251074	2
9606.ENSP00000168977	9606.ENSP00000052754	4
9606.ENSP00000217185	9606.ENSP00000222254	6
9606.ENSP00000229971	9606.ENSP00000237654	6
9606.ENSP00000054668	9606.ENSP00000258400	0
9606.ENSP00000171111	9606.ENSP00000224862	0
9606.ENSP00000231487	9606.ENSP00000261211	6
9606.ENSP00000262300	9606.ENSP00000251630	5
9606.ENSP00000215587	9606.ENSP00000227524	0
9606.ENSP00000006101	9606.ENSP00000256682	2
9606.ENSP00000175756	9606.ENSP00000229794	5
9606.ENSP00000164133	9606.ENSP00000261597	4
9606.ENSP00000155926	9606.ENSP00000005340	2
9606.ENSP00000199814	9606.ENSP00000244020	2
9606.ENSP00000226004	9606.ENSP00000229812	5
9606.ENSP00000201979	9606.ENSP00000254695	6
9606.ENSP00000257905	9606.ENSP00000261461	6
9606.ENSP00000215587	9606.ENSP00000221859	0
9606.ENSP00000199814	9606.ENSP00000236273	4
9606.ENSP00000225275	9606.ENSP00000216117	1
9606.ENSP00000158771	9606.ENSP00000257570	4
9606.ENSP00000250971	9606.ENSP00000242208	1
9606.ENSP00000196551	9606.ENSP00000254630	2
9606.ENSP00000222254	9606.ENSP00000216274	5
9606.ENSP00000019103	9606.ENSP00000262178	2
9606.ENSP00000164133	9606.ENSP00000226021	5
9606.ENSP00000215631	9606.ENSP00000233957	3
9606.ENSP00000225577	9606.ENSP00000179259	5
9606.ENSP00000007969	9606.ENSP00000217133	2
9606.ENSP00000258418	9606.ENSP00000254101	5
